FEATUREID	AreaSqKM	P_High	P_Mod	P_VeryHigh	P_TotalFire
14947918	3.0447	NA	NA	0.05772604	0.05772604
14947936	4.8888	NA	NA	46.94443969	46.94443969
14947938	4.9914	NA	NA	24.54073784	24.54073784
14947940	3.0177	NA	NA	15.13714958	15.13714958
14947946	3.6819	NA	NA	18.26032623	18.26032623
14947966	1.8333	NA	NA	4.312935399	4.312935399
14947970	21.1653	NA	NA	19.69329998	19.69329998
14948994	14.2542	NA	0.025481415	28.65103801	28.67651942
14949000	10.6785	16.80929838	1.492382286	81.69832007	100.0000007
14949010	1.7235	NA	NA	100.0000008	100.0000008
14949022	2.421	NA	NA	100.0000026	100.0000026
14949040	1.8	NA	NA	2.697492207	2.697492207
14949044	1.4472	NA	NA	100.0000018	100.0000018
14949050	0.1827	NA	NA	44.29760942	44.29760942
17562508	1.7082	38.79573219	NA	61.2042665	99.99999868
17562510	1.1691	96.87535451	NA	3.124642126	99.99999664
17562512	2.8116	NA	0.96456573	90.21270031	91.17726604
17562514	0.7497	62.21345262	NA	17.94259453	80.15604715
17562516	1.6551	15.29919155	1.699290552	75.1034564	92.1019385
17562518	2.1078	34.46279412	12.31644938	53.22075409	99.9999976
17562520	2.5209	70.16920617	19.73875255	10.0920417	100.0000004
17562524	2.7279	NA	NA	11.00613456	11.00613456
17562526	1.1133	NA	0.030254512	NA	0.030254512
17562528	2.2788	NA	0.000758337	17.5199833	17.52074164
17562530	3.7467	NA	2.992989042	82.25416438	85.24715343
17562532	1.0458	NA	69.59847832	23.56581237	93.16429068
17562538	0.6147	NA	4.950871492	0.031443977	4.982315469
17562540	1.5939	NA	35.01948718	29.21073756	64.23022474
17562546	2.9691	NA	17.01291822	1.185940674	18.19885889
17562552	7.7832	NA	16.74066681	21.25523935	37.99590616
17562554	1.2519	NA	0.003359594	NA	0.003359594
17562558	3.7602	NA	30.28746684	22.61416461	52.90163145
17562560	0.171	NA	65.68176077	21.0168696	86.69863037
17562564	2.0619	NA	1.758478492	34.64425722	36.40273572
17562566	6.3711	12.41014276	14.73131126	42.94371042	70.08516443
17562568	0.2637	NA	51.87641852	NA	51.87641852
17562572	0.3267	NA	0.529564647	NA	0.529564647
17562598	5.5917	NA	18.33596178	46.34059165	64.67655343
17562600	0.5526	NA	1.617525731	24.88189711	26.49942284
17562616	1.0413	NA	8.856485175	91.1435157	100.0000009
17562626	12.0951	NA	2.353051268	24.57315795	26.92620922
17562630	34.1199	NA	1.648072674	7.584653364	9.232726038
17562632	1.3266	NA	NA	98.9458934	98.9458934
17562634	1.2726	9.767018193	NA	84.26812632	94.03514451
17562636	6.2442	NA	NA	60.66946749	60.66946749
17562684	21.2193	NA	15.56578211	43.95921766	59.52499977
17562692	4.0734	NA	4.306599376	32.16695127	36.47355065
17563296	2.8359	NA	83.13569269	0.043115507	83.1788082
17563316	0.3483	NA	18.15783777	20.40202973	38.5598675
17563322	57.4227	0.322135288	6.769281872	3.251938583	10.34335574
17563324	1.5543	NA	4.733117454	46.46609184	51.19920929
17563326	0.072	NA	NA	16.01596129	16.01596129
17563328	2.7936	NA	0.532878068	69.04363179	69.57650986
17563566	1.1034	79.6671977	NA	20.33279966	99.99999737
17563568	1.1331	63.50932284	NA	36.49067674	99.99999958
17563570	1.2222	99.99999617	NA	NA	99.99999617
17563572	0.8856	100.0000045	NA	NA	100.0000045
17563574	2.2491	95.37183323	NA	4.628168014	100.0000012
17563576	0.5814	44.00148325	NA	55.99851709	100.0000003
17563578	2.2401	18.95665434	NA	81.04334482	99.99999916
17563580	1.3572	NA	NA	99.99999953	99.99999953
17563582	1.2096	8.938468312	NA	91.06153039	99.9999987
17563584	1.0602	NA	NA	100.0000043	100.0000043
17563586	0.9684	NA	NA	99.99999457	99.99999457
17563588	0.9585	NA	NA	99.99999828	99.99999828
17563590	1.971	NA	NA	100	100
17563592	0.2043	NA	NA	100.0000013	100.0000013
17563594	2.2419	0.93744822	NA	99.06255161	99.99999983
17563596	1.3428	7.68043817	NA	92.31956312	100.0000013
17563598	0.7722	0.159595878	NA	99.84040079	99.99999667
17563600	1.6389	58.36759482	NA	41.63240446	99.99999928
17563602	3.9771	NA	NA	99.96598422	99.96598422
17563604	0.1854	NA	NA	100.0000124	100.0000124
17563606	1.2537	93.17226236	NA	6.827746094	100.0000085
17563608	0.4095	99.99999601	NA	NA	99.99999601
17563610	0.0594	99.99995278	NA	NA	99.99995278
17563612	1.242	NA	NA	100.0000015	100.0000015
17563614	0.0072	NA	NA	100.0000203	100.0000203
17563616	0.8442	NA	NA	99.27930624	99.27930624
17563618	1.4373	NA	NA	99.27630931	99.27630931
17563620	2.0943	NA	0.8355649	98.99418689	99.82975179
17563622	1.5219	NA	44.527652	55.47234766	99.99999966
17563624	0.9882	91.5960301	8.403972623	NA	100.0000027
17563626	1.0188	94.57883479	5.421160688	NA	99.99999548
17563628	0.5229	99.99999991	NA	NA	99.99999991
17563630	1.8801	NA	NA	99.99999834	99.99999834
17563632	0.2682	NA	NA	99.99999165	99.99999165
17563634	3.7728	98.32903252	1.670968787	NA	100.0000013
17563636	0.2583	15.26023499	84.73977372	NA	100.0000087
17563638	0.0882	71.68676371	17.30379597	11.00941915	99.99997883
17563640	1.5606	77.06825235	0.252982085	21.97530349	99.29653793
17563642	5.5539	3.027997333	NA	96.97200113	99.99999846
17563644	1.1412	35.5927651	24.29636606	40.11086506	99.99999622
17563646	1.1781	58.38417903	39.94699887	1.66881927	99.99999718
17563648	2.3193	NA	NA	100.0000011	100.0000011
17563650	2.7963	NA	NA	99.99999867	99.99999867
17563652	4.1058	0.418955758	NA	99.5810453	100.0000011
17563654	2.2347	NA	NA	100.000002	100.000002
17563656	0.4671	NA	NA	99.9999984	99.9999984
17563658	0.8532	NA	NA	99.99999903	99.99999903
17563660	0.1161	NA	29.75896795	70.24103533	100.0000033
17563662	1.1781	21.89571459	10.20064763	67.90364077	100.000003
17563664	1.8018	18.95711569	NA	81.04288645	100.0000021
17563666	0.9378	NA	NA	100.0000008	100.0000008
17563668	0.8955	NA	6.488245244	54.87510101	61.36334626
17563670	0.8901	NA	12.20188612	42.69030946	54.89219558
17563672	0.7749	29.11711006	NA	70.88288829	99.99999835
17563674	0.7047	30.48482118	NA	69.51517675	99.99999792
17563676	0.8046	NA	NA	100.0000006	100.0000006
17563678	1.323	4.062465228	21.58624873	18.43457381	44.08328777
17563680	1.1304	NA	4.140487027	58.25014548	62.3906325
17563682	0.756	NA	NA	100.0000031	100.0000031
17563684	1.2924	NA	NA	99.99999736	99.99999736
17563686	1.107	NA	NA	100.0000005	100.0000005
17563688	0.0036	NA	NA	100.0000016	100.0000016
17563690	1.2663	8.499829937	NA	91.50017184	100.0000018
17563692	0.8712	1.202810981	NA	98.79719067	100.0000017
17563696	1.1691	NA	NA	100.0000047	100.0000047
17563698	1.4634	NA	NA	100.0000005	100.0000005
17563700	1.6884	3.551972978	NA	96.44802778	100.0000008
17563702	0.7308	1.359445001	NA	98.64054977	99.99999477
17563706	3.9762	NA	NA	99.99999944	99.99999944
17563708	0.1737	NA	7.62152408	92.37848577	100.0000098
17563710	2.5011	NA	33.08648362	66.9135169	100.0000005
17563712	0.9531	NA	NA	67.90980327	67.90980327
17563714	1.2132	NA	NA	17.57104756	17.57104756
17563716	0.3582	NA	NA	100.0000072	100.0000072
17563718	2.6874	NA	14.92062726	54.5143709	69.43499816
17563720	2.1213	2.303003273	19.43600836	21.42765653	43.16666816
17563722	0.6606	NA	NA	100.0000026	100.0000026
17563724	1.7577	15.01489221	NA	84.98510948	100.0000017
17563726	0.612	NA	NA	100.0000039	100.0000039
17563730	0.0342	NA	12.230927	87.76903392	99.99996093
17563732	3.8835	NA	12.90343022	87.09613315	99.99956337
17563734	1.7325	1.42192082	NA	98.57807757	99.99999839
17563736	1.2789	NA	NA	100.0000005	100.0000005
17563738	2.7495	NA	2.451209195	94.88794323	97.33915242
17563742	2.988	NA	19.54602794	13.91998728	33.46601522
17563744	2.241	NA	13.78568433	24.63166628	38.41735061
17563746	1.7712	NA	34.10175647	65.89824248	99.99999895
17563748	1.6677	NA	6.137257917	93.79546388	99.9327218
17563750	3.1068	NA	NA	89.54679892	89.54679892
17563752	0.4599	NA	NA	100.0000082	100.0000082
17563754	1.8153	NA	17.79377707	82.20622234	99.9999994
17563756	0.9531	NA	NA	0.550192299	0.550192299
17563758	0.6804	NA	NA	11.14703501	11.14703501
17563760	0.1512	NA	NA	99.99998956	99.99998956
17563762	3.3462	NA	3.561012624	95.35636488	98.91737751
17563764	0.6993	NA	NA	100.0000072	100.0000072
17563766	0.1557	NA	36.77376501	54.0366266	90.8103916
17563768	0.0945	NA	NA	99.98498637	99.98498637
17563770	1.0674	NA	NA	99.99999698	99.99999698
17563776	3.267	NA	13.2238483	84.6704078	97.89425609
17563780	0.3042	NA	NA	96.1134638	96.1134638
17563782	1.2132	NA	NA	99.99999796	99.99999796
17563786	0.7839	NA	NA	100.0000053	100.0000053
17563788	2.3535	NA	NA	99.99999932	99.99999932
17563790	0.1233	NA	NA	36.98464262	36.98464262
17563792	1.0026	NA	NA	92.28503418	92.28503418
17563794	2.6568	NA	NA	83.89488799	83.89488799
17563796	0.7434	NA	36.55700868	45.71721977	82.27422845
17563798	0.3294	NA	NA	99.9999892	99.9999892
17563800	1.6578	NA	NA	100.0000006	100.0000006
17563802	1.7505	NA	NA	99.99999971	99.99999971
17563804	0.9288	NA	0.873382639	0.475748015	1.349130654
17563806	0.6606	NA	NA	99.99999597	99.99999597
17563808	1.6074	NA	NA	87.33353753	87.33353753
17563810	1.5975	NA	NA	77.72361199	77.72361199
17563812	2.8296	NA	NA	88.22621446	88.22621446
17563814	0.1053	NA	NA	94.7014672	94.7014672
17563816	0.6219	NA	NA	96.08770562	96.08770562
17563818	0.1359	NA	NA	70.73569512	70.73569512
17563824	2.1267	NA	NA	67.86952697	67.86952697
17563828	1.5129	NA	2.282841874	1.26252391	3.545365784
17563830	2.1699	NA	52.76651255	11.26598675	64.0324993
17563832	1.5066	NA	23.82061127	NA	23.82061127
17563834	1.1844	NA	NA	0.003882034	0.003882034
17563842	1.2582	NA	0.226582682	3.918097991	4.144680673
17563844	3.1509	NA	3.783381501	0.715378068	4.498759569
17563846	1.6254	NA	1.793263512	4.124180245	5.917443757
17563854	2.0043	NA	6.129068411	17.90332046	24.03238887
17563856	1.3095	NA	41.09524807	NA	41.09524807
17563862	2.6793	NA	19.67139746	10.26014254	29.93154
17563866	2.1645	NA	NA	66.00613734	66.00613734
17563868	1.5147	NA	NA	38.32047476	38.32047476
17563870	2.799	NA	NA	62.15892547	62.15892547
17563878	3.24	NA	21.82387957	40.2629153	62.08679487
17563884	1.6416	NA	NA	86.30742423	86.30742423
17563886	2.0043	NA	NA	72.56098187	72.56098187
17563894	5.6178	NA	NA	18.06091801	18.06091801
17563904	2.3652	4.401947538	19.64881534	10.68796943	34.73873231
17563906	0.036	15.11832437	NA	0.884823617	16.00314798
17563908	7.2828	0.129007992	NA	14.75259486	14.88160285
17563912	0.0027	53.50870272	NA	NA	53.50870272
17563914	0.6219	NA	29.66755752	NA	29.66755752
17563916	0.7047	NA	22.86106631	NA	22.86106631
17563918	1.8657	NA	NA	1.519687822	1.519687822
17563924	0.8028	NA	88.23944814	NA	88.23944814
17563926	0.6669	NA	1.811897874	NA	1.811897874
17563928	0.1512	NA	43.38987245	NA	43.38987245
17563932	2.916	NA	NA	27.28042185	27.28042185
17563934	1.7649	NA	NA	22.72114536	22.72114536
17563936	3.3651	1.42237995	NA	39.88756007	41.30994002
17563940	2.6469	0.342425277	1.370661275	NA	1.713086551
17563946	6.4512	0.110617721	7.083479769	41.60375562	48.79785311
17563948	8.2269	NA	NA	16.16592395	16.16592395
17563950	8.4105	NA	NA	16.56363381	16.56363381
17563956	9.8343	NA	NA	11.97749456	11.97749456
17563958	0.6255	2.888730006	0.969024249	0.062479778	3.920234033
17563960	0.4284	0.000358065	18.56129458	NA	18.56165264
17563964	7.4943	NA	NA	73.75335403	73.75335403
17563968	0.0063	52.60260641	NA	NA	52.60260641
17563970	4.3704	24.79167786	56.81645904	16.65081327	98.25895017
17563972	0.0054	91.54700642	8.452835162	NA	99.99984159
17563974	2.5425	14.55345486	NA	72.53168989	87.08514475
17563976	0.6453	1.607693957	35.72329803	9.504991962	46.83598395
17563978	3.2913	1.287111195	46.78170234	51.92770145	99.99651498
17563980	0.4905	14.81382687	78.91307374	NA	93.72690061
17563982	1.8369	NA	NA	52.57671169	52.57671169
17563984	14.1093	0.006696941	NA	0.342202214	0.348899155
17563986	1.8549	NA	NA	100.0000013	100.0000013
17563988	0.5517	3.805421648	89.15744408	4.125479233	97.08834496
17563996	1.0944	NA	34.75734907	NA	34.75734907
17564000	0.9459	NA	12.21070883	12.21321255	24.42392138
17564004	0.0675	NA	18.83903769	79.78208407	98.62112176
17564006	0.4203	NA	10.88490752	17.50417967	28.38908719
17564016	4.3623	NA	29.67297692	35.28611562	64.95909254
17564018	0.5202	NA	63.8884049	11.88796245	75.77636735
17564026	1.7064	NA	NA	1.100637319	1.100637319
17564036	3.6567	NA	NA	1.01516735	1.01516735
17564046	8.3727	NA	15.68918475	39.25552319	54.94470795
17564052	0.1008	NA	27.6193211	0.062682575	27.68200367
17564054	0.0414	NA	97.62469805	NA	97.62469805
17564058	0.0477	NA	16.17718458	3.310851851	19.48803643
17564060	0.0054	NA	NA	89.93087663	89.93087663
17564062	0.1953	NA	6.842793066	2.114285352	8.957078418
17564082	1.5534	NA	NA	19.64835796	19.64835796
17564090	11.034	NA	NA	21.40128376	21.40128376
17564094	5.1381	NA	16.98467823	64.06488671	81.04956494
17564098	1.674	NA	NA	0.036989596	0.036989596
17564100	7.9569	NA	NA	0.035400148	0.035400148
17564104	1.0827	NA	NA	40.29359349	40.29359349
17564122	2.9133	NA	NA	9.741506434	9.741506434
17564136	2.7378	NA	NA	0.948924297	0.948924297
17564148	4.7718	NA	NA	0.510635715	0.510635715
17564156	0.7254	5.435759138	NA	0.0379354	5.473694538
17564160	0.6525	15.91857941	NA	18.20777341	34.12635282
17564162	0.8415	NA	NA	2.516636868	2.516636868
17564164	1.827	0.246039585	NA	49.33662396	49.58266355
17564170	0.7803	NA	NA	11.05991828	11.05991828
17564174	0.54	NA	NA	94.56984105	94.56984105
17564176	2.9601	NA	NA	11.70922906	11.70922906
17564182	2.6811	NA	NA	28.0540736	28.0540736
17564184	1.7046	3.054257363	NA	0.001162189	3.055419552
17564190	1.2438	48.0382127	NA	4.213938395	52.25215109
17564192	1.2078	NA	NA	1.109899165	1.109899165
17564866	1.6047	100.0000011	NA	NA	100.0000011
17564868	1.1862	82.08703607	NA	17.91296579	100.0000019
17564870	4.4874	27.72674812	NA	72.27325158	99.9999997
17564872	0.9099	NA	NA	99.99999661	99.99999661
17564882	0.3843	4.96427304	73.99857934	NA	78.96285238
17564884	0.3969	NA	97.69831085	NA	97.69831085
17564886	1.4535	0.0898452	26.48576545	37.15748656	63.73309722
17564888	1.9926	5.792033946	12.05089492	35.42905093	53.2719798
17564890	2.9916	NA	6.147291644	29.22355138	35.37084302
17564892	34.6455	5.512554034	14.00865085	37.25838909	56.77959398
17564906	3.3939	NA	NA	1.72390823	1.72390823
17564908	5.526	NA	NA	97.23952642	97.23952642
17564910	3.2013	NA	NA	83.9226666	83.9226666
17564912	3.3462	NA	NA	99.99999895	99.99999895
17564922	2.0061	NA	NA	0.384945088	0.384945088
17564926	0.1719	NA	14.35862684	52.37267797	66.73130481
17564928	0.2367	NA	0.010851417	NA	0.010851417
17564930	2.421	NA	33.67324292	63.34322649	97.01646941
17564938	0.2511	NA	NA	99.99999137	99.99999137
17564950	0.288	NA	48.32827186	51.67172958	100.0000014
17564952	0.162	NA	NA	100.0000058	100.0000058
17564958	0.4842	60.92516729	NA	39.07483319	100.0000005
17567145	3.8448	NA	NA	1.159289091	1.159289091
17567147	0.9675	NA	NA	17.93990124	17.93990124
17567149	3.2832	NA	NA	0.815818306	0.815818306
17567151	4.3137	NA	NA	30.75710446	30.75710446
17567157	2.9034	NA	NA	18.15181776	18.15181776
17567159	3.1284	NA	NA	10.28429645	10.28429645
17567167	1.7073	NA	NA	2.308518886	2.308518886
17567169	1.4292	NA	NA	11.26766922	11.26766922
17567171	0.0819	NA	NA	19.93126791	19.93126791
17567173	9.594	NA	NA	41.4056493	41.4056493
17567177	4.2174	NA	NA	0.041074169	0.041074169
17567179	0.2043	NA	NA	100.0000074	100.0000074
17567181	1.1781	NA	NA	64.37541328	64.37541328
17567183	15.5142	NA	7.999267858	68.19099434	76.1902622
17567185	4.4415	NA	NA	37.69706608	37.69706608
17567187	0.144	NA	NA	93.32669386	93.32669386
17567189	0.5985	NA	NA	45.36931318	45.36931318
17567191	1.2771	NA	NA	58.78239948	58.78239948
17567193	0.0171	NA	NA	18.89696341	18.89696341
17567195	1.8414	NA	NA	36.79012827	36.79012827
17567197	0.1233	17.81946433	NA	70.00822308	87.82768741
17567199	0.1845	2.250078794	NA	75.42976698	77.67984577
17567201	4.6908	9.644330498	23.22179877	16.18198353	49.04811279
17567203	0.4248	15.67443328	NA	9.889776283	25.56420956
17567211	1.8108	16.96395527	NA	14.70691179	31.67086706
17567215	0.8676	0.400294111	NA	0.09981159	0.500105701
17567231	3.4659	4.574769174	NA	6.883169598	11.45793877
17567235	2.4831	NA	NA	0.882690799	0.882690799
17567247	0.0738	NA	NA	59.48673548	59.48673548
17567255	4.0617	NA	NA	4.530340827	4.530340827
17567259	1.0521	NA	NA	5.884976279	5.884976279
17567345	0.9333	NA	NA	32.16270906	32.16270906
17567349	0.9108	NA	NA	15.16026763	15.16026763
17567351	0.2997	NA	NA	0.345930589	0.345930589
17567353	0.6597	NA	NA	25.03466502	25.03466502
17567359	2.9106	NA	NA	1.928880577	1.928880577
17567365	2.2986	NA	NA	15.24808477	15.24808477
17567381	0.8829	NA	NA	0.108833056	0.108833056
17567385	2.7936	NA	NA	23.30669726	23.30669726
17567405	0.7812	NA	NA	11.15387081	11.15387081
17567407	3.2814	NA	NA	10.97103898	10.97103898
17567419	0.9504	NA	NA	18.63316735	18.63316735
17567433	0.3816	NA	NA	56.56503461	56.56503461
17567441	0.54	NA	NA	1.132244231	1.132244231
17567449	2.8593	NA	NA	9.725026532	9.725026532
17567453	0.5175	NA	NA	0.805203451	0.805203451
17567455	0.0297	NA	NA	52.75305713	52.75305713
17567461	0.8802	NA	NA	4.700667909	4.700667909
17567483	1.7892	NA	NA	0.086074674	0.086074674
17567487	1.2879	NA	NA	48.1530597	48.1530597
17567491	4.1571	NA	NA	32.64669098	32.64669098
17567493	0.7344	NA	NA	69.03651462	69.03651462
17567503	2.034	NA	NA	0.714270548	0.714270548
17567505	1.1007	NA	NA	26.59011355	26.59011355
17567511	1.0728	NA	NA	25.43050854	25.43050854
17567517	1.7244	NA	NA	48.28593445	48.28593445
17567531	4.0725	NA	NA	18.10018348	18.10018348
17567535	0.5742	NA	NA	45.92017554	45.92017554
17567545	2.9538	NA	NA	13.24083907	13.24083907
17567547	3.5037	NA	NA	29.66334171	29.66334171
17567559	1.0242	NA	NA	10.89080036	10.89080036
17567561	2.0988	NA	NA	5.907027762	5.907027762
17567565	2.061	NA	NA	8.041581981	8.041581981
17567567	0.3213	NA	NA	0.89056066	0.89056066
17567577	1.8045	NA	NA	6.27018669	6.27018669
17567583	0.6462	NA	NA	47.63644482	47.63644482
17567587	0.909	NA	NA	17.13945843	17.13945843
17567589	2.1213	NA	NA	0.817369733	0.817369733
17567597	0.1449	NA	NA	32.37297872	32.37297872
17567601	0.9441	NA	NA	22.52100541	22.52100541
17567603	1.4967	NA	NA	26.28193855	26.28193855
17567605	0.099	NA	NA	51.54633657	51.54633657
17567607	0.2196	NA	NA	3.362876741	3.362876741
17567615	3.024	NA	NA	5.135548482	5.135548482
17567617	3.3984	NA	NA	6.70214395	6.70214395
17567621	3.1734	NA	NA	21.89879388	21.89879388
17567623	0.2781	NA	NA	25.10357786	25.10357786
17567643	1.9332	NA	NA	16.2072894	16.2072894
17567649	0.9072	NA	NA	11.06429183	11.06429183
17567661	0.8919	NA	NA	9.558388888	9.558388888
17567669	1.9827	NA	NA	5.387877892	5.387877892
17567675	3.9987	NA	NA	17.02918837	17.02918837
17567697	0.6678	NA	NA	23.33752486	23.33752486
17567699	0.3492	NA	NA	49.79443916	49.79443916
17567703	4.2552	NA	NA	2.004970907	2.004970907
17567705	0.8325	NA	NA	12.30655335	12.30655335
17567707	0.0306	NA	NA	44.85020562	44.85020562
17567713	1.4868	NA	NA	3.520995713	3.520995713
17567721	3.5055	NA	NA	14.77521822	14.77521822
17567727	1.5237	NA	NA	11.26531827	11.26531827
17567765	3.0996	NA	NA	0.332037352	0.332037352
17567793	2.3004	NA	NA	0.005449329	0.005449329
17567935	0.1008	NA	NA	26.89363715	26.89363715
17567939	0.1611	NA	NA	19.25534638	19.25534638
17567943	1.2258	NA	NA	5.164875817	5.164875817
17567945	1.3131	NA	NA	1.943876497	1.943876497
17567951	0.7758	NA	NA	6.950457265	6.950457265
17567953	0.6282	NA	NA	22.2538792	22.2538792
17567969	1.1916	NA	NA	29.64011122	29.64011122
17567971	0.0738	NA	NA	75.93325938	75.93325938
17567979	0.3915	NA	NA	44.18209128	44.18209128
17567991	2.3787	NA	NA	0.143460204	0.143460204
17567993	0.6912	NA	NA	12.37679057	12.37679057
17567999	0.3618	NA	NA	38.91484136	38.91484136
17568005	1.5507	NA	NA	46.3912181	46.3912181
17568039	1.5408	NA	NA	0.029613269	0.029613269
17568045	1.3797	NA	NA	9.558169466	9.558169466
17568055	0.4905	NA	NA	2.282222868	2.282222868
17568057	0.6264	NA	NA	58.48826956	58.48826956
17568069	0.4257	NA	NA	56.3475912	56.3475912
17568073	0.0252	NA	NA	9.379925438	9.379925438
17568079	0.5769	NA	NA	5.234743332	5.234743332
17568095	0.1341	NA	NA	9.915533271	9.915533271
17568097	0.9846	NA	NA	6.894411551	6.894411551
17568103	1.5417	NA	NA	7.208737831	7.208737831
17568135	0.2988	NA	NA	90.31100885	90.31100885
17568143	0.5076	NA	NA	8.170657878	8.170657878
17568153	0.7074	NA	NA	15.47063878	15.47063878
17568155	1.0512	NA	NA	7.514799364	7.514799364
17568173	0.8019	NA	NA	8.299469723	8.299469723
17568191	1.323	NA	NA	3.51255784	3.51255784
17568539	7.7904	0.029582757	0.602179287	58.20468927	58.83645132
17568541	9.3654	NA	NA	78.20026338	78.20026338
17568543	8.6193	NA	NA	23.92972428	23.92972428
17568547	0.9981	NA	NA	45.78153193	45.78153193
17568549	3.9447	NA	NA	0.055319431	0.055319431
17568571	2.5992	NA	NA	9.875754319	9.875754319
17568977	0.2853	NA	NA	87.87563837	87.87563837
17568979	4.7529	11.89675376	NA	63.40024645	75.29700021
17568981	1.8738	9.258933283	NA	52.00706804	61.26600132
17568983	1.557	NA	NA	100.0000006	100.0000006
17568985	11.0412	0.853371576	NA	94.82749158	95.68086315
17568987	0.0153	NA	NA	100.0000342	100.0000342
17568989	2.0349	1.728436659	NA	98.27156622	100.0000029
17568999	1.8792	NA	NA	83.31319336	83.31319336
17569001	1.7802	NA	NA	99.99999757	99.99999757
17569007	0.0963	NA	NA	100.0000039	100.0000039
17569009	2.6973	3.964397406	NA	96.03560157	99.99999897
17569011	3.195	4.004353103	NA	95.99564533	99.99999844
17569013	1.2483	NA	NA	98.91606711	98.91606711
17569019	1.2168	NA	NA	100.0000003	100.0000003
17569021	1.6317	NA	NA	10.43257529	10.43257529
17569023	2.3751	NA	NA	32.69201044	32.69201044
17569025	6.8355	NA	NA	2.611732719	2.611732719
17569029	4.6926	60.57601067	NA	38.94284602	99.51885669
17569031	3.8214	24.38776894	NA	17.63472436	42.0224933
17569033	2.7234	NA	NA	99.99999925	99.99999925
17569035	1.1502	NA	NA	99.99999886	99.99999886
17569037	0.5445	NA	NA	100.0000001	100.0000001
17569045	0.9765	NA	NA	100.0000012	100.0000012
17569047	3.7764	NA	NA	99.54651767	99.54651767
17569051	1.9125	NA	NA	99.99999705	99.99999705
17569055	1.4787	NA	NA	41.49615174	41.49615174
17569057	1.2699	NA	NA	1.691705454	1.691705454
17569065	0.3843	NA	NA	100.0000044	100.0000044
17569067	1.6992	NA	NA	99.99999859	99.99999859
17569073	4.7304	0.168370826	NA	37.24104289	37.40941372
17569077	2.1915	NA	NA	50.48340099	50.48340099
17569083	6.2289	NA	NA	10.49037395	10.49037395
17569085	2.7234	NA	NA	60.41419837	60.41419837
17569087	2.1492	NA	NA	100.0000022	100.0000022
17569089	1.5291	NA	NA	99.99999849	99.99999849
17569091	0.9477	26.74108552	NA	73.25891581	100.0000013
17569093	2.9178	54.06648626	NA	25.22960509	79.29609134
17569099	0.1116	NA	NA	99.99998646	99.99998646
17569101	0.1107	2.774378843	NA	97.22562072	99.99999956
17569107	7.7967	NA	NA	34.58222869	34.58222869
17569113	1.2294	NA	NA	1.78461087	1.78461087
17569119	1.0845	NA	NA	100.000001	100.000001
17569121	1.7307	0.00026725	NA	90.0161419	90.01640915
17569123	0.9693	NA	NA	99.99999648	99.99999648
17569125	0.0189	NA	NA	100.0000513	100.0000513
17569143	3.3282	NA	NA	99.99999943	99.99999943
17569159	3.4956	NA	NA	66.19033074	66.19033074
17569163	0.045	NA	NA	7.925558841	7.925558841
17569165	4.2345	0.269153831	NA	23.73045323	23.99960706
17569171	9.2979	NA	NA	13.96188715	13.96188715
17569173	0.6714	NA	NA	1.292711191	1.292711191
17569177	0.3015	NA	NA	75.34407757	75.34407757
17569199	2.9925	NA	NA	7.339189075	7.339189075
17569215	3.6459	NA	NA	6.403107342	6.403107342
17569219	4.0707	NA	NA	21.80032923	21.80032923
17569235	8.0325	NA	0.016933359	3.218678214	3.235611573
17569239	0.8865	NA	0.0293952	51.60924626	51.63864146
17569293	2.7729	NA	NA	0.395724541	0.395724541
17569295	1.3392	NA	NA	19.74752307	19.74752307
17569307	5.031	NA	8.899705315	49.09921881	57.99892412
17569389	1.6983	NA	0.146603389	45.78223146	45.92883485
17569407	1.5093	NA	NA	4.404268962	4.404268962
17569423	0.2466	NA	NA	0.338843291	0.338843291
17569445	3.5073	NA	NA	28.90076896	28.90076896
17569467	0.7659	NA	NA	36.41970326	36.41970326
17569469	0.6579	NA	NA	2.771523816	2.771523816
17569495	0.4923	NA	NA	22.59845784	22.59845784
17569507	1.8108	NA	NA	4.861122777	4.861122777
17569621	0.4464	NA	NA	5.75998539	5.75998539
17569635	0.693	NA	NA	4.462134783	4.462134783
17569639	7.7013	NA	NA	26.02348339	26.02348339
17569641	0.3528	NA	NA	17.02753553	17.02753553
17569649	0.6453	NA	NA	25.56638948	25.56638948
17569653	1.755	NA	NA	59.88113925	59.88113925
17569661	4.5351	NA	NA	19.97939183	19.97939183
17569683	0.3681	NA	NA	12.06064556	12.06064556
17569685	2.475	NA	NA	37.87854946	37.87854946
17569687	0.4455	NA	NA	31.22259675	31.22259675
17569701	0.9153	NA	NA	12.47173436	12.47173436
17569703	1.3617	NA	NA	8.153332864	8.153332864
17569705	0.8757	NA	NA	2.736950269	2.736950269
17569721	2.214	NA	NA	15.0701441	15.0701441
17569727	0.3573	NA	NA	0.560311353	0.560311353
17569729	4.3263	NA	NA	2.209884862	2.209884862
17569731	0.1179	NA	NA	96.77875163	96.77875163
17569737	3.8574	NA	NA	6.53411076	6.53411076
17569743	0.1998	NA	NA	75.16297914	75.16297914
17569753	3.195	NA	NA	0.341358005	0.341358005
17569757	0.9819	NA	NA	9.076838183	9.076838183
17569767	2.2752	NA	NA	9.513297134	9.513297134
17569781	0.6255	NA	NA	50.91244783	50.91244783
17569791	0.8874	NA	NA	17.12664437	17.12664437
17569793	0.3537	NA	NA	33.83700923	33.83700923
